college,section,credits,instructor,dates,location
Nash Community College,OST-184-OL01 (0054762) Records Management,3,E. Sprinkle,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,OST-233-OL01 (0054763) Office Publications Design,3,A. Bryant,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: The course requires access to a Windows PC.This is a late start.  Refer to the start date listed.  This course has an altered schedule from a traditional semester.",Online
Nash Community College,OST-236-OL01 (0054764) Adv Word Processing,3,T. TBA,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: The course requires access to a Windows PC.Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,OST-247-V01 (0054765) Procedure Coding,3,E. Sprinkle,"01/11/2021-05/11/2021 Lab/Shop Hours Thursday 01:00PM - 02:59PM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is requiredfor course enrollment verification.",Virtual Learning
Nash Community College,OST-248-OL01 (0054766) Diagnostic Coding,3,D. Brantley,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,OST-249-V01 (0054767) Med Coding Certification Prep,3,E. Sprinkle,"01/11/2021-05/11/2021 Lab/Shop Hours Wednesday 01:00PM - 02:59PM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is requiredfor course enrollment verification.",Virtual Learning
Nash Community College,OST-260-OL01 (0054768) Adv Coding Methodologies,3,D. Brantley,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,OST-288-OL01 (0054769) Medical Office Admin Capstone,3,D. Brantley,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,OST-289-OL01 (0054770) Office Admin Capstone,3,T. TBA,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,PCI-264-01 (0054698) Process Control with PLCs,4,S. Davis,"01/11/2021-05/11/2021 Classroom Hours Tuesday, Thursday 11:30AM - 12:59PM, K Bldg-Advanced Manufacturing, Room 117 (more)...",Main Campus
Nash Community College,PED-110-OL01 (0054482) Fit and Well for Life,2,J. Faison,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,PED-122-CB21 (0054483) Yoga I,1,S. Prezioso,"01/11/2021-05/11/2021 Lab/Shop Hours Days to be Announced05:30PM - 06:29PM, Con Ed & Public Train Bldg, Room 8154 (more)...Comments: 1 hour of lab online.Concurrent with Continuing Education class.",Online
Nash Community College,PHI-215-OL01 (0054577) Philosophical Issues,3,T. TBA,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,PHI-240-OL01 (0054578) Introduction to Ethics,3,T. TBA,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,PHI-240-OL02 (0055199) Introduction to Ethics,3,T. TBA,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,PHY-110-01 (0054459) Conceptual Physics,3,P. Deville,"01/11/2021-05/10/2021 Classroom Hours Monday 02:00PM - 04:59PM, S&T Science & Tech Bldg, Room 7130",Main Campus
Nash Community College,PHY-110-OL01 (0054484) Conceptual Physics,3,N. Carlson,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.Proctortrack Token required for all proctored exams and can bepurchased through the NCC Campus Store.Students registering for this course will have instant access tothe required course e-book.  The cost of these materials willbe listed as a line item on the student's registration schedule. If you have any questions regarding your account please contactthe Business Office at 252-451-8350.",Online
Nash Community College,PHY-110A-01 (0054460) Conceptual Physics Lab,1,P. Deville,"01/13/2021-05/05/2021 Lab/Shop Hours Wednesday 02:00PM - 03:59PM, S&T Science & Tech Bldg, Room 7130Comments: This course has an additional fee of $5.00 for the lab.",Main Campus
Nash Community College,PHY-110A-OL01 (0054486) Conceptual Physics Lab,1,N. Carlson,"01/11/2021-05/11/2021 Lab/Shop Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.Proctortrack Token required for all proctored exams and can bepurchased through the NCC Campus Store.Lab Kit required and is purchased through the NCC Campus Store.",Online
Nash Community College,PHY-152-01 (0054461) College Physics II,4,P. Deville,"01/11/2021-05/11/2021 Classroom Hours Tuesday 03:00PM - 05:59PM, S&T Science & Tech Bldg, Room 7130 (more)...Comments: This course has an additional fee of $5.00 for the lab.",Main Campus
Nash Community College,PHY-152-OL01 (0054487) College Physics II,4,N. Carlson,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.Proctortrack Token required for all proctored exams and can bepurchased through the NCC Campus Store.Students registering for this course will have instant access tothe required course e-book.  The cost of these materials willbe listed as a line item on the student's registration schedule. If you have any questions regarding your account please contactthe Business Office at 252-451-8350.Lab Kit required and is purchased through the NCC Campus Store.",Online
Nash Community College,PHY-251-V01 (0054462) General Physics I,4,P. Deville,"01/11/2021-05/11/2021 Classroom Hours Tuesday 09:00AM - 11:59AM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is required for course enrollment verification. Proctortrack Token required for all proctored exams and can bepurchased through the NCC Campus Store.",Virtual Learning
Nash Community College,PHY-252-OL01 (0054488) General Physics II,4,G. Ruby,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.Proctortrack Token required for all proctored exams and can bepurchased through the NCC Campus Store.",Online
Nash Community College,PHY-252-V01 (0054463) General Physics II,4,P. Deville,"01/11/2021-05/11/2021 Classroom Hours Monday 09:00AM - 10:59AM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is required for course enrollment verification. Proctortrack Token required for all proctored exams and can bepurchased through the NCC Campus Store.",Virtual Learning
Nash Community College,POL-120-OL60 (0054579) American Government,3,F. Battle,"01/26/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.This is a late start class.  Refer to the start date listed. This course has an altered schedule from a traditional semester. Students registering for this course will have instant access tothe required course e-book.  The cost of these materials willbe listed as a line item on the student's registration schedule. If you have any questions regarding your account please contactthe Business Office at 252-451-8350.",Online
Nash Community College,POL-120-V01 (0054580) American Government,3,K. Milks,"01/11/2021-05/11/2021 Classroom Hours Wednesday 01:15PM - 02:44PM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is requiredfor course enrollment verification. Students registering for this course will have instant access tothe required course e-book.  The cost of these materials willbe listed as a line item on the student's registration schedule. If you have any questions regarding your account please contactthe Business Office at 252-451-8350.",Virtual Learning
Nash Community College,PSY-150-B01 (0054582) General Psychology,3,A. Daly,"01/11/2021-05/11/2021 Classroom Hours Monday 08:00AM - 09:29AM, B Bldg, Room 2101 (more)...Comments: This is a blended format whereby instruction is both face-to- face and online.  Up to 50% of the total contact hours per week  may be scheduled for the online portion at the instructor'sdiscretion.  Active participation in both settings is neededfor success.  Webcam, microphone, computer, and reliable high- speed internet access is required.  Online exams may beproctored.",Main Campus
Nash Community College,PSY-150-B01G (0054585) General Psychology,3,E. Hood,"01/12/2021-05/11/2021 Classroom Hours Tuesday 01:30PM - 02:59PM, B Bldg, Room 2101Comments: This is a blended format whereby instruction is both face-to- face and online.  Up to 50% of the total contact hours per weekmay be scheduled for the online portion at the instructor'sdiscretion.  Active participation in both settings is neededfor success.  Webcam, microphone, computer, and reliable high- speed internet access is required.  Online exams may beproctored.  This course has been identified as globally  distinct and contributes to the completion requirements of the Global Scholars Program.",Main Campus
Nash Community College,PSY-150-OL01G (0054586) General Psychology,3,E. Hood,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.This course has been identified as globally distinct and contributes to the completion requirements of the Global Scholars Program.",Online
Nash Community College,PSY-150-OL02G (0054587) General Psychology,3,E. Hood,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.This course has been identified as globally distinct and contributes to the completion requirements of the Global Scholars Program.",Online
Nash Community College,PSY-150-OL03G (0054588) General Psychology,3,E. Hood,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.This course has been identified as globally distinct and contributes to the completion requirements of the Global Scholars Program.",Online
Nash Community College,PSY-150-OL04 (0054589) General Psychology,3,A. Daly,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,PSY-150-OL05 (0054590) General Psychology,3,A. Daly,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,PSY-150-OL61 (0054591) General Psychology,3,A. Daly,"03/09/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.This is a late start class.  Refer to the start date listed. This course has an altered schedule from a traditional semester.",Online
Nash Community College,PSY-150-V01G (0054583) General Psychology,3,E. Hood,"01/11/2021-05/11/2021 Classroom Hours Monday 09:30AM - 10:59AM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is requiredfor course enrollment verification.  This course has been identified as globally distinct and contributes to thecompletion requirements of the Global Scholars Program.",Virtual Learning
Nash Community College,PSY-150-V02G (0054584) General Psychology,3,E. Hood,"01/11/2021-05/11/2021 Classroom Hours Thursday 09:30AM - 10:59AM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is requiredfor course enrollment verification.  This course has been identified as globally distinct and contributes to thecompletion requirements of the Global Scholars Program.",Virtual Learning
Nash Community College,PSY-241-OL01G (0054592) Developmental Psych,3,A. Daly,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.This course has been identified as globally distinct and contributes to the completion requirements of the Global Global Scholars Program.",Online
Nash Community College,PSY-241-OL02G (0054593) Developmental Psych,3,A. Daly,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.This course has been identified as globally distinct and contributes to the completion requirements of the Global Global Scholars Program.",Online
Nash Community College,PSY-241-OL03G (0055215) Developmental Psych,3,A. Daly,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.This course has been identified as globally distinct and contributes to the completion requirements of the Global Global Scholars Program.",Online
Nash Community College,PSY-281-OL01 (0054594) Abnormal Psychology,3,A. Daly,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,PTA-110-B60 (0054969) Intro to Physical Therapy,3,S. Tart,"01/11/2021-02/25/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday 08:30AM - 11:29AM, B Bldg, Room 2117 (more)...Comments: This is a blended format whereby instruction is both face-to- face and online.  Up to 50% of the total contact hours are weekmay be scheduled for the online portion at the instructor'sdiscretion.  Active participation in both settings is neededfor success.",Main Campus
Nash Community College,PTA-125-B60 (0054970) Gross & Functional Anat,5,J. Hardee,"03/01/2021-05/11/2021 Classroom Hours Monday, Tuesday, Wednesday, Thursday 08:30AM - 12:15PM, B Bldg, Room 2117 (more)...Comments: This is a blended format whereby instruction is both face-to- face and online.  Up to 50% of the total contact hours are weekmay be scheduled for the online portion at the instructor'sdiscretion.  Active participation in both settings is neededfor success.",Main Campus
Nash Community College,PTA-155-60 (0054971) PTA Clinical I,2,A. Milks,"03/29/2021-04/13/2021 Clinical Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday 07:00AM - 06:59PM, Off Campus, Room OFF",Off Campus
Nash Community College,PTA-185-60 (0054972) PTA Clinical II,3,A. Milks,"04/14/2021-05/07/2021 Clinical Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday 07:00AM - 06:59PM, Off Campus, Room OFF",Off Campus
Nash Community College,PTA-212-B60 (0054973) Health Care/Resources,2,A. Milks,"02/02/2021-02/18/2021 Classroom Hours Tuesday, Thursday, Friday 12:00PM - 03:59PM, B Bldg, Room 2125Comments: This course has an additional fee of $90.00 lab fees.This is a late start class.  02/12/21 - 12:30 pm - 03:30 pm - 1 Friday scheduled classAdditional online hours to meet course hour requirements",Main Campus
Nash Community College,PTA-215-B60 (0055121) Therapeutic Exercise,3,J. Hardee,"01/11/2021-02/12/2021 Classroom Hours Tuesday, Thursday 12:30PM - 04:29PM, B Bldg, Room 2117 (more)...",Main Campus
Nash Community College,PTA-255-60 (0054976) PTA Clinical IV,4,A. Milks,"02/22/2021-03/26/2021 Clinical Hours Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday 07:00AM - 06:59PM, Off Campus, Room OFF",Off Campus
Nash Community College,REL-110-OL01G (0054595) World Religions,3,T. TBA,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.This course has been identified as globally distinct and contributes to the completion requirements of the Global Global Scholars Program.",Online
Nash Community College,REL-212-OL01 (0054596) Intro to New Testament,3,T. TBA,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.This course has been identified as globally distinct and contributes to the completion requirements of the Global Global Scholars Program.",Online
Nash Community College,SAB-110-OL01 (0054957) Substance Abuse Overview,3,T. TBA,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,SAB-125-OL01 (0054958) SA Case Management,3,I. Alvarez,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,SAB-240-OL01 (0054959) Sab Issues in Client Serv,3,I. Alvarez,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,SEC-110-OL60 (0054809) Security Concepts,3,J. Johnson,"01/26/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,SEC-160-OL60 (0054811) Security Administration I,3,W. Lucas,"01/26/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,SEC-180-OL60 (0054810) Info Assurance Principles,3,J. Hedgepeth,"01/26/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.Students registering for this course will have instant access tothe required course e-book.  The cost of these materials willbe listed as a line item on the student's registration schedule. If you have any questions regarding your account please contactthe Business Office at 252-451-8350.",Online
Nash Community College,SEC-210-OL60 (0054812) Intrusion Detection,3,W. Lucas,"01/26/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.Students registering for this course will have instant access tothe required course e-book.  The cost of these materials willbe listed as a line item on the student's registration schedule. If you have any questions regarding your account please contactthe Business Office at 252-451-8350.",Online
Nash Community College,SGD-116-H01 (0054813) Graphic Design Tools,3,J. Hedgepeth,"01/11/2021-05/11/2021 Lab/Shop Hours Tuesday 09:00AM - 10:59AM, B & I - Bldg G, Room 1211 (more)...Comments: This course is a hybrid format whereby instruction is both faceto face and online.  Active participation in both settings isneeded for success.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.",Main Campus
Nash Community College,SGD-174-V01 (0054814) SG Level Design,3,J. Hedgepeth,"01/11/2021-05/11/2021 Lab/Shop Hours Thursday 09:00AM - 10:59AM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is requiredfor course enrollment verification.",Virtual Learning
Nash Community College,SGD-212-V01 (0054815) SGD Design II,3,J. Hedgepeth,"01/11/2021-05/11/2021 Lab/Shop Hours Monday 11:00AM - 12:59PM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is requiredfor course enrollment verification.",Virtual Learning
Nash Community College,SGD-289-V01 (0054817) SGD Project,3,J. Hedgepeth,"01/11/2021-05/11/2021 Classroom Hours Wednesday 01:00PM - 02:29PM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is requiredfor course enrollment verification.",Virtual Learning
Nash Community College,SOC-210-B01G (0054598) Introduction to Sociology,3,K. Milks,"01/11/2021-05/11/2021 Classroom Hours Tuesday 09:30AM - 10:59AM, B Bldg, Room 2101 (more)...Comments: This is a blended format whereby instruction is both face-to- face and online.  Up to 50% of the total contact hours per weekmay be scheduled for the online portion at the instructor'sdiscretion.  Active participation in both settings is neededfor success.  Webcam, microphone, computer, and reliable high- speed internet access is required.  Online exams may beproctored.  This course has been identified as globally  distinct and contributes to the completion requirements of the Global Scholars Program.",Main Campus
Nash Community College,SOC-210-B02G (0054599) Introduction to Sociology,3,K. Milks,"01/11/2021-05/11/2021 Classroom Hours Monday 01:30PM - 02:59PM, B Bldg, Room 2101 (more)...Comments: This is a blended format whereby instruction is both face-to- face and online.  Up to 50% of the total contact hours per weekmay be scheduled for the online portion at the instructor'sdiscretion.  Active participation in both settings is neededfor success.  Webcam, microphone, computer, and reliable high- speed internet access is required.  Online exams may beproctored.  This course has been identified as globally  distinct and contributes to the completion requirements of the Global Scholars Program.",Main Campus
Nash Community College,SOC-210-OL01 (0054601) Introduction to Sociology,3,D. Hamrick,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,SOC-210-OL02 (0055209) Introduction to Sociology,3,T. TBA,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop.",Online
Nash Community College,SOC-210-V01G (0054600) Introduction to Sociology,3,K. Milks,"01/11/2021-05/11/2021 Classroom Hours Tuesday 01:15PM - 02:44PM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is requiredfor course enrollment verification.  This course has been identified as globally distinct and contributes to thecompletion requirements of the Global Scholars Program.",Virtual Learning
Nash Community College,SOC-213-V01 (0054602) Sociology of the Family,3,K. Milks,"01/11/2021-05/11/2021 Classroom Hours Wednesday 09:30AM - 10:59AM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is requiredfor course enrollment verification.",Virtual Learning
Nash Community College,SPA-111-OL01G (0054604) Elementary Spanish I,3,A. Harper,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop. Thiscourse has been identified as globally distinct and contributesto the completion requirements of the Global Scholars Program.",Online
Nash Community College,SPA-111-OL02G (0054605) Elementary Spanish I,3,A. Harper,"01/11/2021-05/11/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOnline, Room ONLINEComments: Online course.  Webcam, microphone, computer, and reliablehigh-speed internet access is required.  Online exams may beproctored.  Log in to the course on the start date and completethe enrollment verification to avoid the automatic drop. Thiscourse has been identified as globally distinct and contributesto the completion requirements of the Global Scholars Program.",Online
Nash Community College,SPA-111-V01G (0054603) Elementary Spanish I,3,A. Harper,"01/11/2021-05/11/2021 Classroom Hours Tuesday 09:30AM - 10:59AM, Virtual, Room ONLINE (more)...Comments: This is a virtual course. Students are required to meet onlineduring the scheduled course time in a remote learning platformsuch as Zoom or Blackboard Collaborate as determined by theinstructor. Testing may be proctored. Webcam, microphone,computer and reliable high-speed internet access are required.Attendance in the virtual class within the 10% point is requiredfor course enrollment verification.  This course has been identified as globally distinct and contributes to thecompletion requirements of the Global Scholars Program.",Virtual Learning
